"market","root","exchange","contract_unit","contract_size","quote_unit","usd_multiplier_per_quote_unit","tick_in_quote_units","tick_value_usd","root_first_trade_date","delivery_type","rule_chapter","termination_rule_template","session_template_America_Chicago","spec_source_url","launch_source_url","notes","contract_id","contract_listing_date","contract_delisting_date","last_trade_date","first_notice_date","broker_liquidation_deadline","vendor","vendor_instrument_id","vendor_definition_status","data_timezone","historical_calendar_status","session_history_status","margin_source","margin_asof","initial_margin_usd","maintenance_margin_usd","commission_source","commission_asof","commission_per_side_usd","verification_status","reviewed_at","currency","exchange_timezone","margin_evidence_status"
"GOLD","GC","COMEX","troy_ounce","100","USD_per_troy_ounce","100","0.1","10","1974-12-31","PHYSICAL","COMEX 113","Third last business day of delivery month","17:00 previous day to 16:00 trade date; 16:00-17:00 break","https://www.cmegroup.com/trading/metals/files/fact-card-gold-futures-options.pdf","https://www.cmegroup.com/media-room/historical-first-trade-dates.html","Product family first trade date; not a specific instrument listing; physical notice and broker delivery boundaries still UNKNOWN.","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","Databento_GLBX.MDP3_PLANNED_ONLY","UNKNOWN","NOT_ACQUIRED","UNKNOWN_UNTIL_VENDOR_INPUT_VERIFIED","NOT_ACQUIRED","PARTIAL_TEMPLATES_ONLY_NO_DATED_HOLIDAY_RECONCILIATION","https://www.cmegroup.com/solutions/risk-management/performance-bonds-margins/faq-performance-bonds-margins.html","UNKNOWN","UNKNOWN","UNKNOWN","https://www.interactivebrokers.com/en/pricing/commissions-futures.php","UNKNOWN","UNKNOWN","ROOT_TEMPLATE_ONLY","2026-09-15","USD","America/Chicago","PUBLIC_HISTORICAL_SOURCE_LOCATED_NOT_ACQUIRED"
"GOLD","MGC","COMEX","troy_ounce","10","USD_per_troy_ounce","10","0.1","1","2010-10-04","PHYSICAL_ACE","COMEX 120","Third last business day of delivery month","17:00 previous day to 16:00 trade date; 16:00-17:00 break","https://www.cmegroup.com/markets/microsuite/metals.html","https://www.cmegroup.com/tools-information/lookups/advisories/market-regulation/SER-5391.html","Delivery is ACE ownership in standard gold warrant; not a separately deliverable 10oz bar. Original2010 schedule17:00-16:15 with45minbreak differs from current; change chronology not acquired.","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","Databento_GLBX.MDP3_PLANNED_ONLY","UNKNOWN","NOT_ACQUIRED","UNKNOWN_UNTIL_VENDOR_INPUT_VERIFIED","NOT_ACQUIRED","PARTIAL_TEMPLATES_ONLY_NO_DATED_HOLIDAY_RECONCILIATION","https://www.cmegroup.com/solutions/risk-management/performance-bonds-margins/faq-performance-bonds-margins.html","UNKNOWN","UNKNOWN","UNKNOWN","https://www.interactivebrokers.com/en/pricing/commissions-futures.php","UNKNOWN","UNKNOWN","ROOT_TEMPLATE_ONLY","2026-09-15","USD","America/Chicago","PUBLIC_HISTORICAL_SOURCE_LOCATED_NOT_ACQUIRED"
"GOLD","1OZ","COMEX","troy_ounce","1","USD_per_troy_ounce","1","0.25","0.25","2025-01-13","CASH","COMEX 131","Third last business day of month before contract month","2025:17:00 previous day to16:00 trade date;16:00-17:00 break","https://www.cmegroup.com/content/dam/cmegroup/notices/clearing/2024/12/chadv24-385.pdf","https://www.cmegroup.com/notices/clearing/2024/12/24-385.html","No pre2025 execution.24/7 started2026-07-24 outside research range; do not use current FAQ hours retroactively.","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NOT_APPLICABLE_CASH_SETTLED","UNKNOWN","Databento_GLBX.MDP3_PLANNED_ONLY","UNKNOWN","NOT_ACQUIRED","UNKNOWN_UNTIL_VENDOR_INPUT_VERIFIED","NOT_ACQUIRED","PARTIAL_TEMPLATES_ONLY_NO_DATED_HOLIDAY_RECONCILIATION","https://www.cmegroup.com/solutions/risk-management/performance-bonds-margins/faq-performance-bonds-margins.html","UNKNOWN","UNKNOWN","UNKNOWN","https://www.interactivebrokers.com/en/pricing/commissions-futures.php","UNKNOWN","UNKNOWN","ROOT_TEMPLATE_ONLY","2026-09-15","USD","America/Chicago","PUBLIC_HISTORICAL_SOURCE_LOCATED_NOT_ACQUIRED"
"COPPER","HG","COMEX","pound","25000","USD_per_pound_normalized","25000","0.0005","12.5","1988-07-29","PHYSICAL","COMEX 111","Third last business day of delivery month","17:00 previous day to16:00 trade date;16:00-17:00 break","https://www.cmegroup.com/trading/metals/files/copper-futures-and-options.pdf","https://www.cmegroup.com/media-room/historical-first-trade-dates.html","Official specification quotes cents/pound but disseminates dollars/cents; vendor raw scale must be verified. Numeric multiplier here assumes normalized USD/lb.","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","Databento_GLBX.MDP3_PLANNED_ONLY","UNKNOWN","NOT_ACQUIRED","UNKNOWN_UNTIL_VENDOR_INPUT_VERIFIED","NOT_ACQUIRED","PARTIAL_TEMPLATES_ONLY_NO_DATED_HOLIDAY_RECONCILIATION","https://www.cmegroup.com/solutions/risk-management/performance-bonds-margins/faq-performance-bonds-margins.html","UNKNOWN","UNKNOWN","UNKNOWN","https://www.interactivebrokers.com/en/pricing/commissions-futures.php","UNKNOWN","UNKNOWN","ROOT_TEMPLATE_ONLY","2026-09-15","USD","America/Chicago","PUBLIC_HISTORICAL_SOURCE_LOCATED_NOT_ACQUIRED"
"COPPER","MHG","COMEX","pound","2500","USD_per_pound","2500","0.0005","1.25","2022-05-02","CASH","COMEX 914","Third last business day of month before contract month","17:00 previous day to16:00 trade date;16:00-17:00 break","https://www.cmegroup.com/education/files/micro-copper-futures-factcard.pdf","https://www.cmegroup.com/notices/ser/2022/04/SER-8957.html","No pre2022-05-02 execution. Contract is2500lb not1250lb; settles to corresponding standard HG.","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NOT_APPLICABLE_CASH_SETTLED","UNKNOWN","Databento_GLBX.MDP3_PLANNED_ONLY","UNKNOWN","NOT_ACQUIRED","UNKNOWN_UNTIL_VENDOR_INPUT_VERIFIED","NOT_ACQUIRED","PARTIAL_TEMPLATES_ONLY_NO_DATED_HOLIDAY_RECONCILIATION","https://www.cmegroup.com/solutions/risk-management/performance-bonds-margins/faq-performance-bonds-margins.html","UNKNOWN","UNKNOWN","UNKNOWN","https://www.interactivebrokers.com/en/pricing/commissions-futures.php","UNKNOWN","UNKNOWN","ROOT_TEMPLATE_ONLY","2026-09-15","USD","America/Chicago","PUBLIC_HISTORICAL_SOURCE_LOCATED_NOT_ACQUIRED"
"OIL","CL","NYMEX","barrel","1000","USD_per_barrel","1000","0.01","10","1983-03-30","PHYSICAL","NYMEX 200","Third business day before25th calendar day of prior month; if25th is not business day use third business day before preceding business day","17:00 previous day to16:00 trade date;16:00-17:00 break","https://www.cmegroup.com/rulebook/NYMEX/2/200.pdf","https://www.cmegroup.com/media-room/historical-first-trade-dates.html","Actual expiry and delivery notice must come from dated calendar and specific contract. Negative futures prices are possible; never import stock-positive-price assumptions.","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","Databento_GLBX.MDP3_PLANNED_ONLY","UNKNOWN","NOT_ACQUIRED","UNKNOWN_UNTIL_VENDOR_INPUT_VERIFIED","NOT_ACQUIRED","PARTIAL_TEMPLATES_ONLY_NO_DATED_HOLIDAY_RECONCILIATION","https://www.cmegroup.com/solutions/risk-management/performance-bonds-margins/faq-performance-bonds-margins.html","UNKNOWN","UNKNOWN","UNKNOWN","https://www.interactivebrokers.com/en/pricing/commissions-futures.php","UNKNOWN","UNKNOWN","ROOT_TEMPLATE_ONLY","2026-09-15","USD","America/Chicago","PUBLIC_HISTORICAL_SOURCE_LOCATED_NOT_ACQUIRED"
"OIL","MCL","NYMEX","barrel","100","USD_per_barrel","100","0.01","1","2021-07-12","CASH","NYMEX 309","One business day before corresponding CL termination","17:00 previous day to16:00 trade date;16:00-17:00 break","https://www.cmegroup.com/education/articles-and-reports/micro-wti-crude-oil-futures-faq","https://www.cmegroup.com/notices/clearing/2021/06/Chadv21-191.html","First listed expiry August2021. FAQ margin example is asof2021-05-10 and is not a2022-25 historical series. Legacy2011 code MCL denoted a different 1barrel product; root text alone is not proof of2021 100barrel identity.","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NOT_APPLICABLE_CASH_SETTLED","UNKNOWN","Databento_GLBX.MDP3_PLANNED_ONLY","UNKNOWN","NOT_ACQUIRED","UNKNOWN_UNTIL_VENDOR_INPUT_VERIFIED","NOT_ACQUIRED","PARTIAL_TEMPLATES_ONLY_NO_DATED_HOLIDAY_RECONCILIATION","https://www.cmegroup.com/solutions/risk-management/performance-bonds-margins/faq-performance-bonds-margins.html","UNKNOWN","UNKNOWN","UNKNOWN","https://www.interactivebrokers.com/en/pricing/commissions-futures.php","UNKNOWN","UNKNOWN","ROOT_TEMPLATE_ONLY","2026-09-15","USD","America/Chicago","PUBLIC_HISTORICAL_SOURCE_LOCATED_NOT_ACQUIRED"
"CORN","ZC","CBOT","bushel","5000","US_cents_per_bushel","50","0.25","12.5","1877-01-02","PHYSICAL","CBOT 10","Business day before15th calendar day of contract month","19:00 previous day-07:45 trade date;08:30-13:20 trade date","https://www.cmegroup.com/trading/agricultural/files/grain-and-oilseed-futures-options-fact-card.pdf","https://www.cmegroup.com/media-room/historical-first-trade-dates.html","5000bushel x0.01USD/cent=50USD per1cent quote.1877 date is product-family ancestry only; no claim modern Globex instrument existed then.","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","Databento_GLBX.MDP3_PLANNED_ONLY","UNKNOWN","NOT_ACQUIRED","UNKNOWN_UNTIL_VENDOR_INPUT_VERIFIED","NOT_ACQUIRED","PARTIAL_TEMPLATES_ONLY_NO_DATED_HOLIDAY_RECONCILIATION","https://www.cmegroup.com/solutions/risk-management/performance-bonds-margins/faq-performance-bonds-margins.html","UNKNOWN","UNKNOWN","UNKNOWN","https://www.interactivebrokers.com/en/pricing/commissions-futures.php","UNKNOWN","UNKNOWN","ROOT_TEMPLATE_ONLY","2026-09-15","USD","America/Chicago","PUBLIC_HISTORICAL_SOURCE_LOCATED_NOT_ACQUIRED"
"CORN","MZC","CBOT","bushel","500","US_cents_per_bushel","5","0.5","2.5","2025-02-24","CASH","CBOT 10O","Friday at least2business days before last business day of prior month; ifholiday use preceding business day","19:00 previous day-07:45 trade date;08:30-13:20 trade date","https://www.cmegroup.com/content/dam/cmegroup/market-regulation/rule-filings/2025/1/25-024.pdf","https://www.cmegroup.com/articles/2025/micro-agricultural-futures-how-customers-can-derive-value.html","No pre2025-02-24 execution.500bushel x0.01USD/cent=5USD per1cent quote.Official filing0.5cent=$0.005/bu implies$2.50tick; current FAQ $0.050/bu conflicts. Rule filing prevails pendingvendor double verification.","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NOT_APPLICABLE_CASH_SETTLED","UNKNOWN","Databento_GLBX.MDP3_PLANNED_ONLY","UNKNOWN","NOT_ACQUIRED","UNKNOWN_UNTIL_VENDOR_INPUT_VERIFIED","NOT_ACQUIRED","PARTIAL_TEMPLATES_ONLY_NO_DATED_HOLIDAY_RECONCILIATION","https://www.cmegroup.com/solutions/risk-management/performance-bonds-margins/faq-performance-bonds-margins.html","UNKNOWN","UNKNOWN","UNKNOWN","https://www.interactivebrokers.com/en/pricing/commissions-futures.php","UNKNOWN","UNKNOWN","ROOT_TEMPLATE_ONLY","2026-09-15","USD","America/Chicago","PUBLIC_HISTORICAL_SOURCE_LOCATED_NOT_ACQUIRED"
"EURUSD","6E","CME","EUR","125000","USD_per_EUR","125000","0.00005","6.25","1999-01-04","PHYSICAL_FX","CME 261","Second business day before third Wednesday of contract month; actual time/date verification required","17:00 previous day to16:00 trade date;16:00-17:00 break","https://www.cmegroup.com/trading/fx/files/fx-product-guide-2021-us.pdf","https://www.cmegroup.com/media-room/historical-first-trade-dates.html","USD-denominated PNL does not remove physical EUR/USD delivery. Outright tick differs from spreads; no FX spot substitution.","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","Databento_GLBX.MDP3_PLANNED_ONLY","UNKNOWN","NOT_ACQUIRED","UNKNOWN_UNTIL_VENDOR_INPUT_VERIFIED","NOT_ACQUIRED","PARTIAL_TEMPLATES_ONLY_NO_DATED_HOLIDAY_RECONCILIATION","https://www.cmegroup.com/solutions/risk-management/performance-bonds-margins/faq-performance-bonds-margins.html","UNKNOWN","UNKNOWN","UNKNOWN","https://www.interactivebrokers.com/en/pricing/commissions-futures.php","UNKNOWN","UNKNOWN","ROOT_TEMPLATE_ONLY","2026-09-15","USD","America/Chicago","PUBLIC_HISTORICAL_SOURCE_LOCATED_NOT_ACQUIRED"
